iter	Passed	Remaining
421	2237	3064
422	2242	3059
423	2247	3053
424	2253	3049
425	2260	3045
426	2264	3038
427	2269	3033
428	2275	3028
429	2280	3023
430	2287	3019
431	2293	3015
432	2298	3009
433	2303	3004
434	2308	2997
435	2314	2993
436	2318	2986
437	2322	2980
438	2327	2974
439	2332	2968
440	2336	2961
441	2340	2954
442	2345	2949
443	2351	2944
444	2356	2939
445	2361	2933
446	2365	2927
447	2370	2921
448	2376	2916
449	2380	2909
450	2386	2904
451	2391	2899
452	2396	2893
453	2401	2887
454	2408	2885
455	2414	2880
456	2426	2883
457	2432	2878
458	2435	2871
459	2441	2866
460	2448	2862
461	2453	2856
462	2457	2850
463	2471	2855
464	2476	2849
465	2481	2844
466	2486	2838
467	2491	2832
468	2497	2827
469	2501	2820
470	2505	2814
471	2510	2808
472	2515	2802
473	2521	2798
474	2526	2792
475	2532	2787
476	2536	2781
477	2541	2775
478	2547	2770
479	2551	2763
480	2556	2758
481	2562	2753
482	2566	2747
483	2571	2741
484	2575	2734
485	2578	2727
486	2583	2721
487	2588	2715
488	2593	2709
489	2598	2704
490	2603	2698
491	2607	2692
492	2613	2687
493	2618	2681
494	2622	2675
495	2627	2669
496	2632	2664
497	2637	2658
498	2643	2653
499	2648	2648
500	2653	2643
501	2659	2638
502	2664	2632
503	2670	2628
504	2677	2624
505	2681	2618
506	2686	2611
507	2693	2608
508	2700	2605
509	2706	2600
510	2711	2594
511	2714	2587
512	2721	2583
513	2727	2578
514	2731	2572
515	2737	2567
516	2742	2561
517	2747	2556
518	2755	2553
519	2760	2547
520	2767	2544
521	2776	2542
522	2782	2537
523	2787	2532
524	2792	2526
525	2798	2521
526	2803	2516
527	2808	2511
528	2814	2505
529	2821	2501
530	2825	2495
531	2831	2491
532	2838	2487
533	2848	2486
534	2854	2481
535	2858	2474
536	2866	2471
537	2871	2465
538	2876	2459
539	2880	2454
540	2886	2448
541	2890	2442
542	2894	2436
543	2899	2430
544	2904	2424
545	2908	2418
546	2913	2412
547	2923	2411
548	2928	2405
549	2935	2401
550	2939	2395
551	2944	2389
552	2950	2385
553	2954	2378
554	2958	2372
555	2964	2367
556	2968	2361
557	2973	2355
558	2978	2349
559	2982	2343
560	2986	2336
561	2991	2331
562	2996	2326
563	3001	2320
564	3005	2314
565	3011	2308
566	3015	2302
567	3020	2297
568	3025	2291
569	3030	2286
570	3035	2280
571	3040	2275
572	3045	2269
573	3051	2264
574	3055	2258
575	3060	2252
576	3067	2248
577	3078	2247
578	3083	2241
579	3087	2236
580	3093	2230
581	3097	2224
582	3101	2218
583	3105	2212
584	3109	2205
585	3113	2199
586	3117	2193
587	3121	2187
588	3126	2181
589	3131	2176
590	3135	2169
591	3139	2163
592	3144	2158
593	3148	2151
594	3157	2149
595	3162	2143
596	3166	2137
597	3171	2132
598	3176	2126
599	3181	2120
600	3185	2114
601	3191	2109
602	3196	2104
603	3200	2098
604	3204	2092
605	3208	2086
606	3213	2080
607	3217	2074
608	3223	2069
609	3230	2065
610	3234	2059
611	3239	2053
612	3245	2049
613	3250	2043
614	3254	2037
615	3269	2038
616	3280	2036
617	3284	2030
618	3288	2024
619	3293	2018
620	3297	2012
621	3302	2007
622	3307	2001
623	3311	1995
624	3316	1989
625	3320	1983
626	3325	1978
627	3330	1972
628	3335	1967
629	3339	1961
630	3344	1955
631	3349	1950
632	3353	1944
633	3360	1939
634	3364	1934
635	3369	1928
636	3373	1922
637	3377	1916
638	3382	1910
639	3387	1905
640	3391	1899
641	3396	1893
642	3401	1888
643	3405	1882
644	3409	1876
645	3415	1871
646	3420	1866
647	3425	1860
648	3430	1855
649	3435	1849
650	3443	1846
651	3456	1845
652	3469	1843
653	3474	1837
654	3483	1834
655	3488	1829
656	3493	1823
657	3498	1818
658	3509	1815
659	3513	1809
660	3518	1804
661	3524	1799
662	3529	1794
663	3534	1788
664	3539	1782
665	3544	1777
666	3548	1771
667	3553	1766
668	3558	1760
669	3563	1754
670	3569	1750
671	3574	1744
672	3579	1739
673	3583	1733
674	3588	1727
675	3592	1722
676	3597	1716
677	3602	1710
678	3606	1705
679	3611	1699
680	3616	1693
681	3620	1688
682	3625	1682
683	3630	1677
684	3636	1672
685	3641	1666
686	3645	1661
687	3658	1658
688	3663	1653
689	3667	1647
690	3673	1642
691	3678	1637
692	3684	1632
693	3690	1627
694	3700	1623
695	3704	1618
696	3709	1612
697	3713	1606
698	3718	1601
699	3725	1596
700	3730	1590
701	3736	1586
702	3754	1586
703	3760	1581
704	3764	1575
705	3769	1569
706	3776	1565
707	3781	1559
708	3788	1554
709	3792	1549
710	3797	1543
711	3803	1538
712	3809	1533
713	3814	1528
714	3825	1524
715	3830	1519
716	3835	1513
717	3841	1508
718	3847	1503
719	3853	1498
720	3859	1493
721	3864	1487
722	3869	1482
723	3876	1477
724	3882	1472
725	3887	1467
726	3892	1461
727	3896	1456
728	3904	1451
729	3909	1446
730	3918	1441
731	3922	1436
732	3927	1430
733	3932	1425
734	3937	1419
735	3941	1413
736	3946	1408
737	3951	1402
738	3956	1397
739	3960	1391
740	3965	1386
741	3970	1380
742	3975	1375
743	3980	1369
744	3984	1363
745	3989	1358
746	3996	1353
747	4002	1348
748	4006	1342
749	4011	1337
750	4018	1332
751	4023	1326
752	4029	1321
753	4034	1316
754	4038	1310
755	4043	1305
756	4048	1299
757	4054	1294
758	4059	1288
759	4063	1283
760	4068	1277
761	4076	1273
762	4081	1267
763	4086	1262
764	4090	1256
765	4095	1250
766	4102	1246
767	4107	1240
768	4111	1235
769	4116	1229
770	4120	1223
771	4131	1220
772	4135	1214
773	4141	1209
774	4147	1204
775	4152	1198
776	4157	1193
777	4165	1188
778	4171	1183
779	4175	1177
780	4181	1172
781	4190	1168
782	4195	1162
783	4199	1157
784	4203	1151
785	4209	1146
786	4214	1140
787	4219	1135
788	4224	1129
789	4229	1124
790	4236	1119
791	4241	1113
792	4251	1109
793	4256	1104
794	4260	1098
795	4266	1093
796	4271	1088
797	4276	1082
798	4282	1077
799	4288	1072
800	4292	1066
801	4296	1060
802	4301	1055
803	4306	1049
804	4312	1044
805	4315	1038
806	4320	1033
807	4325	1027
808	4329	1022
809	4334	1016
810	4343	1012
811	4349	1007
812	4354	1001
813	4360	996
814	4364	990
815	4368	985
816	4372	979
817	4376	973
818	4380	967
819	4384	962
820	4388	956
821	4392	951
822	4397	945
823	4401	940
